# _на-удаление — мёртвый код, найдено уборкой 15.08
# Метод: греп имени каждого файла по всему репо (без node_modules/.git/медиа), по НЕЙРОНКА/ЗАВОД-НОВЫЙ и по crontab.
# 0 упоминаний = никто не require и не вызывает. Ссылок без расширения (require('./имя')) тоже нет — проверено отдельно.
# Свежие файлы (13-15.08) НЕ переносились, даже если упоминаний нет.
# Вернуть файл: mv _на-удаление/ИМЯ ./

queue_supervisor.cjs.bak	бэкап старой версии queue_supervisor.cjs
mockcard.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
multidress.sh	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-04
nonfolpool.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-01
observer.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-23
oldproxies.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-02
onehearts.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
open3.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-23
openreel.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-23
peek.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
phoneproof.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-11
photopacks.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-06
pinkblack.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
pool.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-11
postprobe.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-31
postsbyacc.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-01
prefilter.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-11
prepoints.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-10
probe.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-21
probe2.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-21
probe_name.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-28
probe_name2.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-28
probe_name3.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-28
probe_nick.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-28
proxyaudit.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-02
proxyflagfix.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
proxyload.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-09
proxytogologin.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-01
purge.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-02
qasheets.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-09
readcomments.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-10
rebuild23.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-09
rebuild_loc.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-10
recover_fabpair.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-09
recover_single.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-09
recycle.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-23
reelanalyze.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-23
reeltest_mirror.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-11
reelviews.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-02
refit4.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-09
reflect.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-22
rehook_hearts.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
reloginfree.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-25
renumber.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-22
replate.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
rescue_salvo.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
restricttext.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-08
rgtest2.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-01
roster.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-21
safeclose.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-23
scanpub.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-10
scenegrab.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
seedchk.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-21
sendfixed.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
sendready.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
seq.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-23
serve.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-02
sessionaudit.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
sessionguard.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
sessionwho.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-08
setava.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-05
setlang.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
setproxy.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-21
sheets.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-11
show_tmp.cjs	tmp-скрипт, не вызывается ниоткуда
six_models_wave.sh	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-06
srcgrab.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-11
srcpromote.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-11
status.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
summary.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-02
swapslide.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
tabclean.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-11
tati_onboard.sh	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-05
tgalbum.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-10
tgbackfill.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-06
tmp_resend_retry.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-06
topersonal.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-08
topro.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-31
tplopt.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
trendposts.sh	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-04
tryacct.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-01
ttcheck.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
ttpost.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-10
typage_wave.sh	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-06
uniqaudio.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-09
uniqcli.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-01
uniqhard.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-09
uniqmeasure.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-09
variants4.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
viewsguard.sh	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-09
vverify.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
vvisit.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
warmup.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-03
whoami.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-08
